agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Dyn-BATNA,no-shock,21,86,900021,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6291,0.7446,0.7446,0.7446,True,0.4,0.4,120,0,False,1.0,0.8286,0.8286,False,False,False,False,False,0.7866,0.7866
Dyn-tau-nohedge,no-shock,21,87,900021,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6296,0.7446,0.7446,0.7446,True,0.4,0.4,120,0,False,1.0,0.8286,0.8286,False,False,False,False,False,0.7866,0.7866
Surplus,no-shock,22,88,900022,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6404,0.7839,0.7839,0.7839,True,0.4,0.4,20,0,False,1.0,0.0338,0.0338,True,True,False,False,False,0.4089,0.4089
Static-tau,no-shock,22,89,900022,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.635,0.7915,0.7915,0.7915,True,0.4,0.4,120,0,False,1.0,0.4471,0.4471,False,False,True,False,False,0.6193,0.6193
Dyn-BATNA,no-shock,22,90,900022,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6291,0.8105,0.8105,0.8105,True,0.4,0.4,120,0,False,1.0,0.4471,0.4471,False,False,True,False,False,0.6288,0.6288
Dyn-tau-nohedge,no-shock,22,91,900022,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6296,0.8096,0.8096,0.8096,True,0.4,0.4,120,0,False,1.0,0.4471,0.4471,False,False,True,False,False,0.6284,0.6284
Surplus,no-shock,23,92,900023,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.6404,0.7294,0.7294,0.7294,True,0.4,0.4,120,0,False,1.0,0.8387,0.8387,False,False,False,False,False,0.784,0.784
Static-tau,no-shock,23,93,900023,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.635,0.7365,0.7365,0.7365,True,0.4,0.4,120,0,False,1.0,0.8387,0.8387,False,False,False,False,False,0.7876,0.7876
Dyn-BATNA,no-shock,23,94,900023,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.6291,0.7542,0.7542,0.7542,True,0.4,0.4,120,0,False,1.0,0.8387,0.8387,False,False,False,False,False,0.7964,0.7964
Dyn-tau-nohedge,no-shock,23,95,900023,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.6296,0.7533,0.7533,0.7533,True,0.4,0.4,120,0,False,1.0,0.8387,0.8387,False,False,False,False,False,0.796,0.796
Surplus,no-shock,24,96,900024,False,cooperative,0.0,-1,none,Ho Chi Minh City,Los Angeles,0,0,True,0.6404,0.617,0.617,0.617,True,0.4,0.4,120,0,False,1.0,0.7195,0.7195,False,False,False,False,False,0.6682,0.6682
Static-tau,no-shock,24,97,900024,False,cooperative,0.0,-1,none,Ho Chi Minh City,Los Angeles,0,0,True,0.635,0.623,0.623,0.623,True,0.4,0.4,120,0,False,1.0,0.7195,0.7195,False,False,False,False,False,0.6712,0.6712
